"from","to","country","new","entire"
2020-03-15,2020-03-22,"Germany",19078,24873
2020-03-15,2020-03-22,"Iran",7700,21638
2020-03-15,2020-03-22,"Italy",34391,59138
2020-03-15,2020-03-22,"Spain",20970,28768
2020-03-15,2020-03-22,"US",30793,33761
2020-03-15,2020-03-22,"United Kingdom",7318,10395
2020-03-16,2020-03-23,"China",465,81498
2020-03-16,2020-03-23,"France",13440,20123
2020-03-16,2020-03-23,"Germany",21784,29056
2020-03-16,2020-03-23,"Iran",8058,23049
2020-03-16,2020-03-23,"Italy",35947,63927
2020-03-16,2020-03-23,"Spain",25194,35136
2020-03-16,2020-03-23,"US",39490,43850
2020-03-16,2020-03-23,"United Kingdom",9052,12744
2020-03-17,2020-03-24,"China",533,81591
2020-03-17,2020-03-24,"France",14907,22622
2020-03-17,2020-03-24,"Germany",23729,32986
2020-03-17,2020-03-24,"Iran",8642,24811
2020-03-17,2020-03-24,"Italy",37670,69176
2020-03-17,2020-03-24,"Spain",28137,39885
2020-03-17,2020-03-24,"US",47971,54112
2020-03-17,2020-03-24,"United Kingdom",10664,15126
2020-03-18,2020-03-25,"China",559,81661
2020-03-18,2020-03-25,"France",16476,25600
2020-03-18,2020-03-25,"Germany",24996,37323
2020-03-18,2020-03-25,"Iran",9656,27017
2020-03-18,2020-03-25,"Italy",38673,74386
2020-03-18,2020-03-25,"Spain",35605,49515
2020-03-18,2020-03-25,"US",57138,66055
2020-03-18,2020-03-25,"United Kingdom",12376,17843
2020-03-19,2020-03-26,"China",626,81782
2020-03-19,2020-03-26,"France",18581,29551
2020-03-19,2020-03-26,"Germany",28618,43938
2020-03-19,2020-03-26,"Iran",10999,29406
2020-03-19,2020-03-26,"Italy",39554,80589
2020-03-19,2020-03-26,"Spain",39823,57786
2020-03-19,2020-03-26,"US",69934,84091
2020-03-19,2020-03-26,"United Kingdom",14437,20970
2020-03-20,2020-03-27,"China",647,81897
2020-03-20,2020-03-27,"France",20644,33402
2020-03-20,2020-03-27,"Germany",31023,50871
2020-03-20,2020-03-27,"Iran",12688,32332
2020-03-20,2020-03-27,"Italy",39477,86498
2020-03-20,2020-03-27,"Spain",45309,65719
2020-03-20,2020-03-27,"US",82797,102276
2020-03-20,2020-03-27,"United Kingdom",16428,24219
2020-03-21,2020-03-28,"China",694,81999
2020-03-21,2020-03-28,"France",23642,38105
2020-03-21,2020-03-28,"Germany",35482,57695
2020-03-21,2020-03-28,"Iran",14798,35408
2020-03-21,2020-03-28,"Italy",38894,92472
2020-03-21,2020-03-28,"Spain",47861,73235
2020-03-21,2020-03-28,"US",96244,122069
2020-03-21,2020-03-28,"United Kingdom",18056,27062
2020-03-22,2020-03-29,"China",687,82122
2020-03-22,2020-03-29,"France",24465,40708
2020-03-22,2020-03-29,"Germany",37222,62095
2020-03-22,2020-03-29,"Iran",16671,38309
2020-03-22,2020-03-29,"Italy",38551,97689
2020-03-22,2020-03-29,"Spain",51342,80110
2020-03-22,2020-03-29,"US",107444,141205
2020-03-22,2020-03-29,"United Kingdom",19559,29954
2020-03-23,2020-03-30,"China",700,82198
2020-03-23,2020-03-30,"France",25047,45170
2020-03-23,2020-03-30,"Germany",37829,66885
2020-03-23,2020-03-30,"Iran",18446,41495
2020-03-23,2020-03-30,"Italy",37812,101739
2020-03-23,2020-03-30,"Spain",52820,87956
2020-03-23,2020-03-30,"US",118857,162707
2020-03-23,2020-03-30,"United Kingdom",21537,34281
2020-03-24,2020-03-31,"China",688,82279
2020-03-24,2020-03-31,"France",30205,52827
2020-03-24,2020-03-31,"Germany",38822,71808
2020-03-24,2020-03-31,"Iran",19794,44605
2020-03-24,2020-03-31,"Italy",36616,105792
2020-03-24,2020-03-31,"Spain",56038,95923
2020-03-24,2020-03-31,"US",134612,188724
2020-03-24,2020-03-31,"United Kingdom",23689,38815
2020-03-25,2020-04-01,"China",700,82361
2020-03-25,2020-04-01,"France",32149,57749
2020-03-25,2020-04-01,"Germany",40549,77872
2020-03-25,2020-04-01,"Iran",20576,47593
2020-03-25,2020-04-01,"Italy",36188,110574
2020-03-25,2020-04-01,"Spain",54603,104118
2020-03-25,2020-04-01,"US",148150,214205
2020-03-25,2020-04-01,"United Kingdom",25946,43789
2020-03-26,2020-04-02,"China",650,82432
2020-03-26,2020-04-02,"France",30378,59929
2020-03-26,2020-04-02,"Germany",40856,84794
2020-03-26,2020-04-02,"Iran",21062,50468
2020-03-26,2020-04-02,"Italy",34653,115242
2020-03-26,2020-04-02,"Spain",54279,112065
2020-03-26,2020-04-02,"US",160519,244610
2020-03-26,2020-04-02,"United Kingdom",27748,48718
2020-03-27,2020-04-03,"China",614,82511
2020-03-27,2020-04-03,"France",31800,65202
2020-03-27,2020-04-03,"Germany",40288,91159
2020-03-27,2020-04-03,"Iran",20851,53183
2020-03-27,2020-04-03,"Italy",33329,119827
2020-03-27,2020-04-03,"Spain",53480,119199
2020-03-27,2020-04-03,"US",174271,276547
2020-03-27,2020-04-03,"United Kingdom",29480,53699
2020-03-28,2020-04-04,"China",544,82543
2020-03-28,2020-04-04,"France",31395,69500
2020-03-28,2020-04-04,"Germany",38397,96092
2020-03-28,2020-04-04,"Iran",20335,55743
2020-03-28,2020-04-04,"Italy",32160,124632
2020-03-28,2020-04-04,"Spain",52933,126168
2020-03-28,2020-04-04,"US",187630,309699
2020-03-28,2020-04-04,"United Kingdom",30710,57772
